DATE,LOCATION,AGENCY ID,VEHICLE ID,DURATION,LICENSE PLATE,DESCRIPTION
2015-04-02 21:47:09,"Coordinates: 39.950637, -75.196841",PWD,5M0UKJ,0:22:00,KYWOBL,Dolorum saepe omnis ut reiciendis illo velit vitae. Delectus repudiandae voluptatibus et asperiores molestias harum laudantium. Porro facere molestiae ullam dicta omnis. Totam sed sit et consequatur neque voluptatem ut.
2015-08-02 07:38:30,"Coordinates: 39.950691, -75.197252",PECO,CDKYHL,0:28:00,3DMZ89,Natus itaque maiores rerum. Facilis quia omnis et placeat quia distinctio. Aut quo ut exercitationem illo dignissimos. Minima non omnis porro autem doloribus dolorem.
2015-06-23 22:52:28,"Coordinates: 39.950157, -75.197952",PECO,UPV2LZ,0:13:00,,Dicta quo voluptatem ut aspernatur. Consectetur veniam quibusdam eum facere quia.
2015-03-18 12:29:06,"Coordinates: 39.950739, -75.196457",SEPTA BUS,XLDW2X,0:27:00,,Ducimus voluptatum ut ullam aut illum delectus. Ducimus ut eveniet maxime. Nostrum doloribus aspernatur doloremque qui.
2015-04-08 22:10:31,"Coordinates: 39.951149, -75.197883",SEPTA BUS,UKP0YC,0:05:00,UMXZEU,Explicabo amet voluptatem quia. Quos consequatur excepturi ipsum amet. Qui qui quo voluptate quia ad explicabo.
2015-10-11 14:17:01,"Coordinates: 39.951700, -75.196840",PWD,1T7FVI,0:14:00,,Ipsum nemo dolores doloremque itaque. Aut sed cupiditate vitae veritatis deleniti. Occaecati consequatur voluptatem est distinctio.
2015-10-18 09:18:13,"Coordinates: 39.950465, -75.196261",SEPTA CCT,0VXCNX,0:22:00,,Omnis eligendi numquam quia. Repellendus placeat quaerat ut sed voluptas et sed. Aut esse aut vitae sit neque vel ducimus. Nisi doloribus labore quis tempore officia.
2015-04-09 01:46:17,"Coordinates: 39.950202, -75.197644",PWD,AK16KS,0:10:00,,Magnam suscipit aperiam dicta maiores ad quis. Distinctio sint perferendis et. Magni ipsam eum omnis minus omnis aut necessitatibus aperiam. In id et nam qui.
2016-01-08 07:22:42,"Coordinates: 39.950829, -75.197921",SEPTA BUS,OZGYDC,0:26:00,,Sequi libero accusantium commodi veniam ut non molestias. Repellendus qui quia aspernatur nemo. Quo fuga culpa laborum ipsam. Molestiae odio qui illum unde.
2015-01-17 10:50:53,"Coordinates: 39.951244, -75.198012",STREETS,D66BHF,0:08:00,F21Y4N,Reprehenderit quis doloribus et accusantium nihil corrupti corporis. Quia id quidem assumenda qui esse. Ducimus aperiam et illo expedita dolor nam rerum. Occaecati sapiente aliquam facere maiores suscipit sed fugiat.
2015-11-12 06:10:53,"Coordinates: 39.951948, -75.197310",PWD,TPAER4,0:20:00,1C92FH,Quas natus ab id officiis laudantium quae totam autem. Commodi rerum porro molestias deleniti. Placeat doloremque eligendi nobis ducimus consequatur. Vel corrupti officia voluptates doloremque sed aut.
2015-07-12 22:52:40,"Coordinates: 39.950479, -75.196311",SEPTA CCT,EFZMZK,0:10:00,,Voluptatum excepturi ut ea cumque debitis. Et eius aliquid esse iure libero. Eos reprehenderit eum nisi velit. Sapiente voluptas cumque dolor eum maxime.
2016-01-01 17:30:22,"Coordinates: 39.950621, -75.197370",SEPTA CCT,T8ILDE,0:15:00,,Error sit maiores quisquam vero iusto quam laborum. Error dolorem consequuntur in aperiam repellat quis repudiandae. Voluptatem ut voluptatem et ut non.
2015-06-18 01:54:17,"Coordinates: 39.950670, -75.197634",SEPTA,89EWNL,0:10:00,DQAI2W,Id distinctio laboriosam omnis ut distinctio qui velit. Esse ut et iusto deserunt repellendus. Nesciunt hic consequatur dolores itaque sed voluptates et.
2015-06-24 15:01:11,"Coordinates: 39.950946, -75.196920",STREETS,FQJI3V,0:22:00,6FPSX0,Ipsam itaque sunt enim necessitatibus voluptates repellat consequatur. Corporis ut deleniti cum eum non. Mollitia sint qui voluptas voluptate.
2015-01-23 23:13:42,"Coordinates: 39.950380, -75.197151",SEPTA BUS,E8WI8L,0:25:00,GEFO1Z,In cumque qui ratione quam maxime temporibus fuga. Sed perspiciatis dolor odit cum et non saepe. Cupiditate incidunt repudiandae incidunt architecto voluptatem doloribus asperiores voluptas.
2015-10-15 11:46:55,"Coordinates: 39.950787, -75.197358",SEPTA BUS,Q5U413,0:27:00,,Ipsum in exercitationem optio minus quae est quos. Vel et et cupiditate magnam voluptatem neque. Similique quae et a a mollitia et amet et. Adipisci exercitationem et similique numquam aut repellat.
2015-06-21 06:56:27,"Coordinates: 39.950631, -75.196707",SEPTA,8G1GDQ,0:30:00,,In culpa dicta odit quia id sequi. Tempore molestias molestias dolores maiores. Excepturi impedit id non itaque. Expedita officia expedita qui dolor.
2015-12-19 10:05:49,"Coordinates: 39.951316, -75.196900",SEPTA BUS,71APG9,0:10:00,,Provident recusandae rem voluptas alias excepturi. Recusandae ducimus asperiores similique cupiditate nemo. Iusto quod quidem ipsum soluta numquam accusantium.
2015-09-26 22:37:23,"Coordinates: 39.951796, -75.196611",PECO,CPBW35,0:09:00,E4XQ2E,Maxime sit numquam consectetur voluptas. Nihil a assumenda ut dolor ut laboriosam quasi. Enim dolores officiis molestiae quia laudantium. Sapiente consequuntur modi quia et.
2015-09-08 14:07:57,"Coordinates: 39.950555, -75.197143",PECO,XUC1AB,0:14:00,,Accusantium est accusamus saepe consectetur nihil est. Et assumenda perferendis consequatur voluptatem. Consequuntur quisquam aut eligendi hic et quis. Tempore ea maiores est dolores animi necessitatibus. Impedit magni consequatur cum maiores qui aliquid quam.
2015-01-23 14:29:41,"Coordinates: 39.951068, -75.196309",SEPTA,LIRS46,0:07:00,BX0T8K,Sed quam sunt excepturi quos fuga sit. Perspiciatis quasi non molestiae ducimus fugiat. Aut maiores ullam quo nemo beatae provident cupiditate. Quam amet id quis pariatur aliquid. Et velit id est in voluptas.
2015-02-17 23:51:17,"Coordinates: 39.950492, -75.196487",STREETS,JFUAV1,0:02:00,E4DW85,Id sunt aperiam ab ad adipisci tempora omnis. Quia fugit maxime aut deserunt sed. Ad est nihil officia nostrum pariatur assumenda nihil.
2015-11-15 20:22:02,"Coordinates: 39.951000, -75.196309",SEPTA CCT,9RVX11,0:13:00,,Deserunt est nemo omnis laboriosam impedit sit vitae ut. Odit odit illum dolores reiciendis molestiae ipsa. Accusamus aliquid omnis quaerat quis ducimus veritatis. Exercitationem occaecati consequuntur eos odit quo.
2015-12-03 03:44:38,"Coordinates: 39.950485, -75.197921",SEPTA CCT,1NXZY2,0:18:00,,Aut pariatur sed debitis maxime corporis nihil. Assumenda quos sunt quia soluta ipsam eveniet. Dolorem quas et et voluptas non. Et rerum veritatis ad. Eveniet accusantium molestiae non voluptatibus et.
2015-05-19 23:18:37,"Coordinates: 39.951053, -75.197162",STREETS,TQ2T5G,0:20:00,JR2PTL,In ipsum illo veniam deleniti sunt porro. Sed omnis ratione placeat inventore at praesentium esse. Minima porro magnam sunt totam eos vitae.
2015-04-03 10:17:00,"Coordinates: 39.951627, -75.197746",SEPTA CCT,JA2AMM,0:13:00,TRG74S,Cum enim fugit quibusdam adipisci fugiat recusandae ipsum sapiente. Et necessitatibus est pariatur reiciendis qui qui. Excepturi reiciendis soluta praesentium quaerat voluptas sit natus ipsam.
2015-07-21 00:12:11,"Coordinates: 39.951317, -75.197377",SEPTA CCT,E0O3R3,0:22:00,,Sit dolores minus architecto et eveniet. Cumque sed dolores reprehenderit vero. Ut ut aspernatur quod consequatur voluptatibus nulla. Eum est pariatur saepe impedit.
2015-07-05 20:41:49,"Coordinates: 39.950756, -75.197427",PWD,PY4WM4,0:19:00,,Autem architecto non cumque labore et. Enim quas id in ad. Aut dolorum aperiam placeat deleniti voluptas laudantium quam. Quos voluptatum ipsa sit natus sit ducimus.
2015-10-12 11:46:59,"Coordinates: 39.950270, -75.197635",SEPTA CCT,LBVNHE,0:04:00,HJ4VSB,Ipsum quis non corporis perspiciatis provident hic occaecati. Cum dolores cum corporis ut dolor quia eos. Est qui facilis aliquam aliquid. Asperiores quis commodi quibusdam quia consequatur dolores.
2015-11-07 10:12:08,"Coordinates: 39.950924, -75.197223",PWD,SKQ2EH,0:19:00,K5NDYF,Sit omnis quia adipisci aperiam ut praesentium iusto. A aut placeat voluptatem eaque. Quia eos itaque ut facilis sequi dicta accusamus dolorum. Minima veritatis beatae ullam ipsa.
2015-11-30 02:03:09,"Coordinates: 39.950537, -75.197047",SEPTA BUS,OT6NPP,0:27:00,9TV7IP,Iusto et error maiores ea excepturi dicta. Eos facere sunt omnis aut sit. Placeat illum sit deleniti quasi reprehenderit. Ut vitae ut earum aut quam.
2015-04-13 08:28:31,"Coordinates: 39.951598, -75.196806",PECO,B4J8AP,0:06:00,TB5C09,Suscipit sunt consequatur et error impedit. Et voluptatem eaque eius tempora libero id. Odio omnis enim quia et molestiae quos.
2015-12-02 06:07:43,"Coordinates: 39.951224, -75.197244",PWD,IYFCTU,0:05:00,F3WQJ7,Quas nihil similique aut. Similique quia perspiciatis tempora enim et vel nesciunt rerum. Sed quod voluptas autem nesciunt molestias error. Neque delectus laudantium quia voluptas.
2015-05-25 01:53:58,"Coordinates: 39.950272, -75.197874",PWD,NIUV1U,0:11:00,WS8Y02,Explicabo similique ut dolor maiores alias ullam. Consequatur odio qui iusto quo voluptatem aut ut ut. Sed blanditiis reiciendis quo consequatur consequuntur.
2015-02-12 18:31:47,"Coordinates: 39.951941, -75.197607",SEPTA,A0ZNCM,0:15:00,K4XRW3,Et commodi illum quisquam consequatur et necessitatibus. Pariatur iure qui expedita.
2015-02-26 01:32:47,"Coordinates: 39.951780, -75.196982",SEPTA BUS,Q3FJI8,0:05:00,YI6VZ2,Autem laudantium distinctio explicabo eius. Nulla laudantium mollitia vitae maiores sint.
2015-02-16 11:04:05,"Coordinates: 39.950073, -75.196370",PECO,40R2MW,0:02:00,,Reiciendis dolores reprehenderit incidunt beatae similique sint qui quibusdam. Et debitis laborum provident officiis nihil. Ipsam voluptatem voluptatem eveniet harum. Sed optio laboriosam sed et quaerat.
2015-10-05 23:25:30,"Coordinates: 39.951912, -75.197063",SEPTA CCT,3IX10P,0:11:00,,Rerum velit natus consequuntur ea. Facere odit rerum blanditiis facilis eos. Odit repellat voluptates sequi ut sequi quasi est doloremque.
2015-10-26 19:24:30,"Coordinates: 39.950425, -75.197947",PECO,USC3BH,0:07:00,74Q3XD,Architecto repudiandae ut iure repudiandae. Odio id dolorem ut voluptas quia. Unde enim earum ut in quia libero ut dolor. Ex et reprehenderit ut est dolor.
2015-10-18 23:33:29,"Coordinates: 39.950031, -75.196597",PECO,RPZS3Q,0:20:00,,Nostrum culpa repellendus harum nostrum. Architecto consequatur numquam non molestias eum adipisci. Est animi molestias repellendus deserunt et id eius. Et voluptates aut dolores voluptatibus voluptatem in sequi minus.
2015-08-20 14:49:09,"Coordinates: 39.951719, -75.197745",PWD,6G30Q6,0:28:00,YQBFP4,Voluptas velit enim numquam sint et reprehenderit. Magnam velit error dignissimos rem minus quis molestias. Rerum aut laboriosam vero corrupti aut tempora magnam voluptatum.
2015-07-31 07:06:40,"Coordinates: 39.951376, -75.197439",PWD,0JHNFS,0:03:00,,Nihil nemo reprehenderit impedit non consequatur facere. Eum natus commodi eos ut iure. Minima est sed molestiae aut vero. Dolorem dolorum adipisci itaque ut nobis et. Aliquam laboriosam excepturi sint et.
2015-10-30 17:56:36,"Coordinates: 39.951994, -75.197594",PECO,FMQAO7,0:01:00,,Et iusto ab beatae labore velit consequuntur. Dolores assumenda cumque voluptatibus. Dolore dolor possimus iste eos. Iste voluptatum commodi aut nam accusamus occaecati sit. Asperiores et ut qui nostrum facilis omnis quas.
2015-02-24 23:45:52,"Coordinates: 39.950606, -75.196655",PECO,GQ5IDI,0:26:00,,Exercitationem corporis quod qui dicta ducimus ut possimus amet. Tempora deserunt totam et est perferendis. Atque et eius qui doloremque animi reprehenderit quidem dolor. Fuga hic eius repellat enim occaecati.
2015-11-06 06:37:41,"Coordinates: 39.950142, -75.197134",PECO,RLHGWE,0:28:00,18TP6T,Quo ut et dolor molestiae perspiciatis. Nemo aut aut officiis atque blanditiis dolore. Libero aut optio aperiam quibusdam dolores qui non.
2015-01-27 04:07:48,"Coordinates: 39.950653, -75.197789",STREETS,RKI7JY,0:27:00,LQZ8OB,Possimus ipsa natus reiciendis quos quae. Et laudantium voluptatem ipsa accusantium. Ex voluptatem commodi modi officiis laborum voluptatem.
2015-01-20 21:20:10,"Coordinates: 39.950977, -75.197721",SEPTA BUS,5J9TD7,0:29:00,,Voluptatem unde molestiae ipsum dignissimos dolore sapiente eveniet. Mollitia qui voluptas odit sed facere. Vel ipsam aut dolorum sit aliquam debitis iusto rerum. Sed fugiat enim quos aspernatur corrupti nulla iusto.
2015-07-15 19:11:58,"Coordinates: 39.950122, -75.198164",PWD,C3MVFU,0:29:00,,Sint veniam mollitia aut quo. Facilis nobis alias ad unde qui minus. At maiores quisquam delectus. Accusantium ratione amet tempora hic est non qui. Voluptatum praesentium saepe et.
2015-04-07 00:09:34,"Coordinates: 39.950560, -75.198017",SEPTA BUS,APOVLB,0:05:00,,Rem quibusdam cupiditate qui est eum illum. Et consequatur aspernatur nobis vitae voluptatem. Assumenda corrupti reiciendis reprehenderit voluptatem et harum.
2015-05-14 09:17:05,"Coordinates: 39.951703, -75.197468",PECO,VYIIRD,0:26:00,,Qui dignissimos ex perspiciatis est. Neque dolores maiores ad dolorum quam eum. Omnis aperiam veniam ipsam voluptatibus ut saepe laborum. Minus alias consequuntur recusandae sit qui.
2015-06-08 03:20:05,"Coordinates: 39.951075, -75.198050",PECO,MNX4LU,0:15:00,,Tenetur voluptatem sapiente recusandae tenetur odio tempore. Enim architecto sit officia fuga officiis. Sit accusantium sint rerum odio. Magnam vel voluptatum aut reiciendis ipsum voluptatum.
2015-08-18 22:06:37,"Coordinates: 39.950983, -75.197049",SEPTA BUS,A8K1KG,0:16:00,MQRT8W,Autem omnis consequatur nobis vel dolorem. Accusamus et eius harum saepe quis sed qui voluptatibus. Corporis soluta ratione dolorem et consectetur dicta occaecati. Autem praesentium quis tenetur exercitationem expedita sed. Voluptatem dolorem aut id numquam totam et voluptatem.
2015-09-19 14:13:49,"Coordinates: 39.951377, -75.196930",SEPTA CCT,3FHQ7Y,0:24:00,,Error nemo et quasi qui non perspiciatis consectetur. Quidem nostrum nihil nobis similique eum nemo aut. Maiores error fuga doloremque eos qui.
2015-11-03 03:41:49,"Coordinates: 39.950072, -75.197212",PWD,1B6GOY,0:09:00,,Et quas voluptatem illum. Et labore et magni repudiandae quos. Repellat quasi ut quasi sed velit dolorem quae. Sapiente officiis nulla omnis provident dolores.
2015-10-27 13:47:49,"Coordinates: 39.951046, -75.197923",STREETS,F2DO20,0:22:00,Q3RV8S,Et quia et fugit ducimus sunt. Incidunt nostrum eos est voluptatem nihil incidunt sit occaecati. Incidunt eos fugit iusto quia a et. Dolorem omnis ullam ab.
2015-03-30 03:02:54,"Coordinates: 39.950483, -75.197139",PECO,1LLYTG,0:18:00,JICAOF,In repellendus et a blanditiis. Numquam atque animi nihil dolorem ut accusantium iusto. Rerum maiores et non rerum consequuntur qui. Dolorem vel repellendus praesentium.
2015-12-18 23:21:14,"Coordinates: 39.951681, -75.197680",SEPTA BUS,0RVNX7,0:26:00,8SIKYL,Labore eos natus praesentium earum ex. Sed hic non exercitationem repellendus veritatis maiores. Et et repudiandae nemo molestiae molestiae quidem ut. Odit qui rerum porro iste odit veniam recusandae.
2015-12-21 02:26:41,"Coordinates: 39.950663, -75.196736",PECO,DXCGY7,0:21:00,,Esse culpa iure temporibus inventore. Aut laborum nulla iure dignissimos commodi et. Tempore a sint sunt ut voluptates excepturi minima. Veniam quod autem laborum tenetur est dolores.
2015-01-23 07:36:35,"Coordinates: 39.950568, -75.198235",PECO,YCJXFA,0:01:00,4IHNGN,Officiis recusandae illum quia numquam ducimus sapiente. Id ex minus at velit. Incidunt amet quam beatae eos.
2015-12-12 21:02:29,"Coordinates: 39.951429, -75.197230",SEPTA,SFQ7IB,0:22:00,5DYC0U,Quas quis reiciendis exercitationem blanditiis eius tenetur ea est. Et nisi error alias.
2015-10-01 05:38:19,"Coordinates: 39.951279, -75.196943",SEPTA,IV79AW,0:29:00,KIW4T9,Corrupti autem optio ut sed veritatis vitae nemo omnis. Repellendus voluptas nemo perspiciatis qui odit sequi. Autem non autem laudantium non nulla. Consectetur non rerum similique voluptas ut id. Enim qui nesciunt totam numquam.
2015-01-30 09:34:19,"Coordinates: 39.951078, -75.197498",SEPTA CCT,EKDO1J,0:02:00,B4JPNJ,Amet repellendus voluptas id dolorem quos ut. Nihil nobis eum at nam repellat dolorem quisquam facere. Cum aut occaecati voluptas reiciendis laudantium reprehenderit inventore. A voluptas nam delectus eius similique cumque.
2016-01-07 03:52:19,"Coordinates: 39.950478, -75.197366",PWD,HAEJ30,0:09:00,,Et quas quis eligendi quidem ut et quia. Aut deserunt necessitatibus culpa quisquam natus est quas. Cupiditate ex qui blanditiis repudiandae eum voluptas.
2015-08-17 21:11:14,"Coordinates: 39.951782, -75.197370",SEPTA,2HDK30,0:09:00,XWY08H,Et nostrum quia a. Odio et accusantium voluptatem voluptatem nostrum quaerat vel. Ut qui temporibus et. Maiores sapiente recusandae possimus dolor dolorem sed accusamus.
2015-02-12 03:17:34,"Coordinates: 39.950955, -75.197988",PWD,GWM56E,0:04:00,TQJT7N,Est tempora maiores tempora exercitationem non expedita in. Fugit dolores asperiores dolor.
